,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,8055.0,2.0,55.0,50217.94,10.5792,12.0,1.0,0.0,67.50379,157.4698,5730.433744,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
1,4718.0,2.0,34.0,32331.8,8.532065,13.0,0.0,0.0,2.246214,182.4608,632.4760401,4.0,5.0,4.0,3.0,5.0,3.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2,1735.0,1.0,66.0,43551.35,9.082948983,10.0,1.0,0.0,2.405574983,172.470522,901.2877149,5.0,6.0,4.0,4.0,5.0,4.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
3,3478.0,3.0,87.0,80780.17,14.93255,10.0,0.0,0.0,6.038648,222.6143,1477.559089,3.0,5.0,3.0,2.0,4.0,4.0,4.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
4,7107.0,8.0,52.0,18849.08,9.651067,10.0,0.0,0.0,59.97805,169.9447,5464.592624,5.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
5,9753.0,1.0,63.0,13223.66,7.953802,11.0,1.0,0.0,51.25081,149.9621,4511.138449,4.0,3.0,4.0,3.0,4.0,4.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
6,4999.0,2.0,49.0,15908.91,11.47451,10.0,0.0,1.0,5.368306,182.4538,772.3849869,4.0,3.0,4.0,4.0,2.0,6.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
7,7941.0,1.0,37.0,11320.55,9.650912,9.0,0.0,2.0,62.20392,174.9768,5936.572086,3.0,4.0,4.0,2.0,5.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
8,8104.0,0.0,68.0,59261.2,9.279998,10.0,1.0,0.0,59.9106,159.9476,5572.923222,3.0,3.0,4.0,5.0,3.0,4.0,4.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,6192.0,1.0,23.0,38682.52,11.59313,4.0,1.0,0.0,61.20259,187.4673,6031.527231,2.0,2.0,3.0,4.0,4.0,2.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
